camid,pid,gender_gt,gender_pred,age_gt,age_pred,age_group_gt,age_group_pred,correct_age,correct_gender,correct
cam2000,6216,M,M,37,32,2,2,1,1,1
cam2001,1764,M,F,54,55,3,3,1,0,0
cam2002,5434,M,F,55,44,3,3,1,0,0
cam2003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2004,2456,M,M,71,34,4,2,0,1,0
cam2005,2584,F,F,37,29,2,2,1,1,1
cam2006,448,F,F,44,27,3,2,0,1,0
cam2007,633,M,M,36,27,2,2,1,1,1
cam2008,2739,M,M,49,45,3,3,1,1,1
cam2009,2607,M,M,48,28,3,2,0,1,0
cam2010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2012,371,M,M,33,27,2,2,1,1,1
cam2013,2551,M,M,40,38,3,2,0,1,0
cam2014,3312,F,F,31,25,2,2,1,1,1
cam2015,7325,M,M,40,29,3,2,0,1,0
cam2016,2328,M,M,48,29,3,2,0,1,0
cam2017,5656,M,M,55,32,3,2,0,1,0
cam2018,3146,M,M,58,30,3,2,0,1,0
cam2019,2469,M,M,37,30,2,2,1,1,1
cam2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2021,584,F,F,50,30,3,2,0,1,0
cam2022,3417,F,F,26,24,2,2,1,1,1
cam2023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2024,6637,M,M,25,28,2,2,1,1,1
cam2025,8096,M,M,44,40,3,3,1,1,1
cam2026,7724,M,M,31,26,2,2,1,1,1
cam2027,2028,M,M,60,46,3,3,1,1,1
cam2028,2479,F,F,39,39,2,2,1,1,1
cam2029,2708,M,M,61,40,3,3,1,1,1
cam2030,5630,M,M,36,32,2,2,1,1,1
cam2031,1536,M,F,50,20,3,2,0,0,0
cam2032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2033,2486,M,M,60,67,3,4,0,1,0
cam2034,1951,M,M,49,34,3,2,0,1,0
cam2035,8404,F,F,43,26,3,2,0,1,0
cam2036,7142,M,M,67,52,4,3,0,1,0
cam2037,1075,M,M,49,45,3,3,1,1,1
cam2038,2328,M,M,48,29,3,2,0,1,0
cam2039,3350,F,F,36,27,2,2,1,1,1
cam2040,5183,M,M,25,34,2,2,1,1,1
cam2041,7073,M,M,52,30,3,2,0,1,0
cam2042,4929,M,M,41,31,3,2,0,1,0
cam2043,5733,M,M,27,32,2,2,1,1,1
cam2044,958,M,M,58,52,3,3,1,1,1
cam2045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2046,2015,M,M,54,28,3,2,0,1,0
cam2047,8101,M,M,44,39,3,2,0,1,0
cam2048,4843,M,M,41,23,3,2,0,1,0
cam2049,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2050,4841,F,F,41,27,3,2,0,1,0
cam2051,409,M,M,52,47,3,3,1,1,1
cam2052,6444,F,F,50,26,3,2,0,1,0
cam2053,7372,M,M,31,23,2,2,1,1,1
cam2054,2980,M,M,45,32,3,2,0,1,0
cam2055,5879,M,M,29,28,2,2,1,1,1
cam2056,5889,M,M,43,27,3,2,0,1,0
cam2057,1164,M,F,81,32,4,2,0,0,0
cam2058,2499,M,M,26,42,2,3,0,1,0
cam2059,5406,M,M,55,25,3,2,0,1,0
cam2060,681,F,F,28,31,2,2,1,1,1
cam2061,2218,M,M,50,39,3,2,0,1,0
cam2062,3176,F,F,29,23,2,2,1,1,1
cam2063,2096,M,M,41,46,3,3,1,1,1
cam2064,2938,M,M,47,28,3,2,0,1,0
cam2065,5349,M,M,49,44,3,3,1,1,1
cam2066,1579,M,M,50,27,3,2,0,1,0
cam2067,4462,M,M,25,25,2,2,1,1,1
cam2068,338,M,M,26,29,2,2,1,1,1
cam2069,6627,M,M,47,29,3,2,0,1,0
cam2070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2071,993,M,M,49,31,3,2,0,1,0
cam2072,402,M,M,43,29,3,2,0,1,0
cam2073,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2074,2138,M,M,57,25,3,2,0,1,0
cam2075,5309,M,M,28,24,2,2,1,1,1
cam2076,846,M,M,40,31,3,2,0,1,0
cam2077,1096,M,M,31,30,2,2,1,1,1
cam2078,1970,F,F,24,28,2,2,1,1,1
cam2079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2080,1944,M,M,32,34,2,2,1,1,1
cam2081,7374,M,M,40,33,3,2,0,1,0
cam2082,5215,M,M,49,54,3,3,1,1,1
cam2083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2084,1481,M,M,48,40,3,3,1,1,1
cam2085,5527,F,F,23,17,2,1,0,1,0
cam2086,1712,M,M,58,49,3,3,1,1,1
cam2087,5622,M,M,51,50,3,3,1,1,1
cam2088,6073,M,M,70,55,4,3,0,1,0
cam2089,3156,M,M,48,40,3,3,1,1,1
cam2090,2218,M,M,36,30,2,2,1,1,1
cam2091,2626,M,M,32,28,2,2,1,1,1
cam2092,2061,M,M,41,29,3,2,0,1,0
cam2093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2094,1775,F,F,50,62,3,3,1,1,1
cam2095,4354,M,M,48,38,3,2,0,1,0
cam2096,1482,M,M,48,31,3,2,0,1,0
cam2097,1586,M,M,35,24,2,2,1,1,1
cam2098,3640,F,F,23,28,2,2,1,1,1
cam2099,1615,M,M,53,35,3,2,0,1,0
cam2100,2461,M,M,53,53,3,3,1,1,1
cam2101,6161,M,M,41,32,3,2,0,1,0
cam2102,3943,M,M,49,37,3,2,0,1,0
cam2103,4735,M,M,61,50,3,3,1,1,1
cam2104,3455,F,F,23,26,2,2,1,1,1
cam2105,1608,M,M,61,50,3,3,1,1,1
cam2106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2107,4729,M,M,55,51,3,3,1,1,1
cam2108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2109,5212,M,M,72,64,4,3,0,1,0
cam2110,3587,M,M,40,29,3,2,0,1,0
cam2111,6319,M,M,37,26,2,2,1,1,1
cam2113,3046,M,M,43,31,3,2,0,1,0
cam2114,2873,M,M,25,33,2,2,1,1,1
cam2115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2116,6155,F,M,49,33,3,2,0,0,0
cam2117,1839,M,F,81,30,4,2,0,0,0
